# vendored from 2003scape/rsc-world-map@70f488a res/points.json
# type\tx\ty
altar	341	1944
altar	670	1994
altar	695	1769
altar	864	1418
altar	1013	1313
altar	1209	1679
altar	1315	1302
altar	1378	1383
altar	1438	1300
altar	1442	598
altar	1529	2058
altar	1611	1330
altar	1651	1370
altar	2063	1376
altar	2089	1096
altar	2106	2001
altar	2137	1425
altar	2142	1587
amulet-shop	1119	2097
anvil	459	1696
anvil	696	2278
anvil	733	2095
anvil	742	1524
anvil	902	1349
anvil	1081	2227
anvil	1471	1460
anvil	1532	886
anvil	1562	2134
anvil	2000	1530
anvil	2093	1507
apothecary	2009	1556
archery-shop	1159	1461
archery-shop	2092	1532
armour-conversion	774	1801
armour-conversion	2122	1552
axe-shop	1645	1881
axe-shop	2068	1997
bank	285	1366
bank	300	1510
bank	676	2252
bank	784	1835
bank	1119	1476
bank	1234	2546
bank	1447	1651
bank	1590	1698
bank	1785	1903
bank	1793	1346
bank	1992	1501
bank	2132	1531
bank	2168	2078
bank	2264	2188
bed	206	1405
bed	390	1436
bed	468	1326
bed	484	1605
bed	500	1697
bed	538	1689
bed	554	1825
bed	602	1856
bed	628	2224
bed	700	1684
bed	754	1602
bed	758	1951
bed	759	1450
bed	832	1774
bed	1036	1505
bed	1059	1995
bed	1095	2287
bed	1117	2040
bed	1124	1446
bed	1152	1669
bed	1264	2478
bed	1319	1727
bed	1421	2111
bed	1514	1560
bed	1548	1726
bed	1574	2146
bed	1595	1913
bed	1682	413
bed	1687	1370
bed	1762	1356
bed	1790	1830
bed	1816	1655
bed	1919	1493
bed	2025	1418
bed	2076	1590
bed	2087	1990
bed	2199	1350
bed	2199	1598
bed	2243	2072
body-armour-shop	1531	1726
body-armour-shop	2087	1493
certificate-trader	626	1502
certificate-trader	685	1684
certificate-trader	1113	2015
certificate-trader	1156	1442
certificate-trader	1751	1901
clothes-shop	286	1387
clothes-shop	2026	1542
combat-practice	2126	1501
cookery-shop	296	1303
cookery-shop	369	1299
cookery-shop	594	2242
cookery-shop	1634	866
crafting-shop	774	1772
crafting-shop	1446	1999
crafting-shop	2284	2018
dungeon	300	1747
dungeon	476	2121
dungeon	583	1647
dungeon	585	1966
dungeon	638	2161
dungeon	668	2288
dungeon	838	1543
dungeon	868	1808
dungeon	1154	1632
dungeon	1167	2082
dungeon	1181	1879
dungeon	1238	1302
dungeon	1314	1554
dungeon	1580	2121
dungeon	1593	551
dungeon	1602	1476
dungeon	1633	378
dungeon	1704	534
dungeon	1746	1165
dungeon	1792	1398
dungeon	1827	1437
dungeon	2105	1415
fishing-point	161	1358
fishing-point	206	1527
fishing-point	229	1416
fishing-point	435	1448
fishing-point	469	1529
fishing-point	588	1624
fishing-point	664	1490
fishing-point	689	1521
fishing-point	691	1492
fishing-point	998	1825
fishing-point	1025	1962
fishing-point	1160	1494
fishing-point	1193	1501
fishing-point	1223	1510
fishing-point	1268	2506
fishing-point	1290	2276
fishing-point	1317	2047
fishing-point	1328	2025
fishing-point	1343	2051
fishing-point	1534	2091
fishing-point	1545	2104
fishing-point	1664	872
fishing-point	1740	1927
fishing-point	1753	1955
fishing-point	1770	1969
fishing-point	1804	1513
fishing-point	1818	1497
fishing-point	2060	1883
fishing-point	2164	2139
fishing-shop	639	1542
fishing-shop	1182	1451
fishing-shop	1259	2522
fishing-shop	1606	1936
food-shop	286	1327
food-shop	805	1789
food-shop	806	1763
food-shop	1085	2047
food-shop	1616	1965
furnace	662	1769
furnace	1181	1678
furnace	1240	2520
furnace	1514	1628
furnace	1997	763
furnace	2044	1877
furnace	2184	2034
gem-shop	788	1791
gem-shop	1445	1697
gem-shop	2179	1995
general-shop	381	1752
general-shop	491	2106
general-shop	699	1797
general-shop	1058	2247
general-shop	1125	1510
general-shop	1185	2535
general-shop	1353	2134
general-shop	1448	1974
general-shop	1481	1591
general-shop	1600	881
general-shop	1767	1319
general-shop	2033	1918
general-shop	2056	1538
general-shop	2250	2180
general-shop	2270	2037
helmet-shop	1732	1522
herblaw-shop	1127	1686
herblaw-shop	1336	1513
jewellery-shop	1601	1890
kebab-shop	2177	2047
leg-armour-shop	2273	2055
mace-shop	1453	1611
magic-shop	1619	1892
magic-shop	2135	1561
mining-site	595	1951
mining-site	611	1347
mining-site	729	2126
mining-site	874	1705
mining-site	925	2022
mining-site	928	2119
mining-site	1161	2459
mining-site	1172	1594
mining-site	1201	1824
mining-site	1207	2379
mining-site	1350	1646
mining-site	1423	1829
mining-site	1504	1911
mining-site	1614	1121
mining-site	1669	464
mining-site	1762	748
mining-site	1764	1504
mining-site	1780	1182
mining-site	1958	1612
mining-site	2120	660
mining-site	2220	1631
mining-site	2224	1749
pickable-lock	588	1661
pickable-lock	605	1805
pickable-lock	616	1741
pickable-lock	686	1732
pickable-lock	820	1799
pickable-lock	824	1761
pub	369	1318
pub	545	2282
pub	592	1742
pub	653	2138
pub	868	1347
pub	1082	2095
pub	1249	2468
pub	1482	1632
pub	1675	1866
pub	2074	1562
pub	2193	1334
quest	295	2036
quest	330	1340
quest	451	2079
quest	479	1340
quest	526	2212
quest	579	1727
quest	583	1756
quest	585	1853
quest	618	1793
quest	685	1987
quest	691	1892
quest	714	2021
quest	880	1830
quest	900	1642
quest	903	1520
quest	976	1206
quest	1043	1305
quest	1130	2247
quest	1155	1367
quest	1292	2550
quest	1302	1323
quest	1369	1460
quest	1382	1368
quest	1457	1467
quest	1490	1676
quest	1493	1996
quest	1505	1705
quest	1675	1881
quest	1690	1875
quest	1790	2073
quest	1791	1853
quest	1809	1705
quest	1909	2002
quest	1935	1492
quest	1942	1534
quest	1942	1534
quest	1961	1849
quest	2037	1975
quest	2041	1539
quest	2046	1366
quest	2109	1985
quest	2183	1565
quest	2213	2086
quest	2251	2208
quest	2381	1706
rare-trees	167	1558
rare-trees	245	1524
rare-trees	759	1376
rare-trees	862	1589
rare-trees	879	1473
rare-trees	885	1416
rare-trees	919	1317
rare-trees	945	1691
scimitar-shop	2209	2021
shield-shop	1511	1590
silk-trader	743	1779
silk-trader	2211	2001
skirt-armour-shop	2276	2079
spinning-wheel	255	1558
spinning-wheel	273	1534
spinning-wheel	865	1389
spinning-wheel	1383	1834
spinning-wheel	1750	1519
spinning-wheel	2020	1994
staff-shop	2018	1507
sword-shop	1298	1501
sword-shop	2032	1566
tannery	1398	1836
tannery	2180	2018
